Date,Open,High,Low,Close,Volume,Adj Close
2014-07-18,93.32,93.93,93.10,93.53,3363000,92.66891
2014-07-17,93.96,94.70,92.91,92.99,3110800,92.13389
2014-07-16,94.81,95.09,94.27,94.47,2738000,93.60027
2014-07-15,94.79,95.16,94.00,94.45,3499200,93.58044
2014-07-14,95.23,95.58,94.43,94.54,2388000,93.66962
2014-07-11,94.27,94.59,93.75,94.47,2108500,93.60027
2014-07-10,93.55,94.81,93.16,94.46,2230000,93.59035
2014-07-09,95.44,95.55,94.41,94.74,2645500,93.86777
2014-07-08,94.92,95.01,93.57,94.57,2828700,93.44173
2014-07-07,95.50,95.66,95.12,95.40,1962800,94.26183
2014-07-03,95.58,95.94,95.22,95.84,1633800,94.69658
2014-07-02,95.19,95.78,95.06,95.21,1595500,94.0741
2014-07-01,95.42,96.24,95.28,95.35,3026300,94.21243
2014-06-30,95.00,95.34,94.55,94.87,2634300,93.73816
2014-06-27,94.25,95.05,94.13,94.93,3630700,93.79744
2014-06-26,94.83,94.94,93.54,94.30,2594800,93.17496
2014-06-25,94.26,95.21,94.20,94.64,2398400,93.5109
2014-06-24,95.09,95.55,94.25,94.43,2088700,93.30341
2014-06-23,95.33,95.75,94.79,95.51,2102500,94.37052
2014-06-20,95.58,96.04,95.03,95.54,5387400,94.40016
2014-06-19,95.46,95.70,94.53,95.07,3206400,93.93577
2014-06-18,94.75,95.59,94.08,95.56,2454800,94.41992
2014-06-17,94.37,95.20,94.01,94.66,2572300,93.53066
2014-06-16,94.36,94.75,93.84,94.37,2832500,93.24413
2014-06-13,94.95,95.17,94.38,94.85,1793000,93.71839
2014-06-12,95.35,95.48,94.36,94.76,2870500,93.62947
2014-06-11,94.94,95.26,94.64,95.08,1884000,93.94566
2014-06-10,95.09,95.39,94.68,95.28,2418300,94.14326
2014-06-09,95.08,95.88,94.65,95.57,3825200,94.4298
2014-06-06,92.94,94.94,92.82,94.91,4550800,93.77768
2014-06-05,91.92,93.21,91.53,92.80,3219200,91.69286
2014-06-04,91.59,91.90,91.33,91.81,2637000,90.71466
2014-06-03,91.61,91.85,91.27,91.73,2589100,90.63562
2014-06-02,91.79,92.11,91.43,91.89,2832100,90.79371
2014-05-30,91.00,91.68,90.89,91.50,3594800,90.40836
2014-05-29,91.12,91.30,90.53,91.28,2668500,90.19099
2014-05-28,91.31,91.36,90.63,91.06,2466800,89.97361
2014-05-27,89.60,91.47,89.35,91.39,5093800,90.29967
